№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3292,Спортивный зал,Курортный,"г. Сестрорецк, Приморское шоссе, дом 280, лит. А","ГБУ ДО Центр психолого-педагогической, медицинской и социальной помощи Курортного района СПб",162
3293,Спортивный зал,Курортный,"г.Зеленогорск, Курортная ул., 1",ГУ «Балтийский берег»,220
3294,Спортивный зал,Курортный,"пос.Репино, Луговая ул., 8",ДОЛ «Буревестник»,648
3295,Спортивный зал,Курортный,"г.Зеленогорск, Исполкомская ул., 5",ДЮЦ «Снайпер»,180
3296,Спортивный зал,Курортный,"г.Сестрорецк, Приморское шоссе, 38км","ГБУЗ санаторий ""Белые ночи""",648
3297,Спортивный зал,Курортный,"ул.Максима Горького, 2","Санаторий ""Сестрорецкий курорт",288
3298,Спортивный зал,Курортный,"пос.Смолячково, Приморское шоссе, 704",Пансионат «Восток-6»,648
3299,теннис,Невский,"пр. Космонавтов, дом 38, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",2836
3300,экстрим,Невский,"пр. Космонавтов, дом 38, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",2836
3301,трен зал,Невский,"пр. Космонавтов, дом 38, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",233
3302,Спортивный зал,Невский,"Московское шоссе, дом 3, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",748
3303,Спортивный зал,Невский,"Московское шоссе, дом 3, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",228
3304,Спортивный зал,Невский,"Московское шоссе, дом 3, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",298
3305,Спортивный зал,Невский,"Московское шоссе, дом 3, корп. 3, лит. А","ГАУ ""Дирекция по управлению спортивными сооружениями""",184
3306,Спортивный зал,Невский,Витебский пр. 41кор.2,ГБОУ ДОД СДЮСШОР № 1 Московского района,288
3307,Спортивный зал,Невский,"Костюшко,38",ГБОУ ДОД СДЮСШОР № 1 Московского района,288
3308,Спортивный зал,Невский,Авиационная ул. д.13,ГОБУ ДОД СДЮСШОР 2,162
3309,Спортивный зал,Невский,"Пулковская ул., д.11",ГОБУ ДОД СДЮСШОР 2,288
3310,Игровой зал,Невский,"пр. Космонавтов, дом 47, лит. А","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",540
3311,Зал борьбы,Невский,"пр. Космонавтов, дом 47, лит. А","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",288
3312,Зал ОФП,Невский,"пр. Космонавтов, дом 47, лит. А","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",162
3313,Зал тяжёлой атлетики ,Невский,"пр. Космонавтов, дом 47, лит. А","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",162
3314,Зал скалолазания,Невский,"пр. Космонавтов, дом 47, лит. В","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",180
3315,Зал большого тенниса,Невский,"пр. Космонавтов, дом 47, лит. В","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",540
3316,Зал настольного тенниса,Невский,"пр. Космонавтов, дом 47, лит. В","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",180
3317,Зал хореографии,Невский,"пр. Космонавтов, дом 47, корп. 5, лит. А","ГБОУ ДОД ДЮЦ Московского района ""Центр физической культуры, спорта и здоровья""",270
3318,Спортивный зал,Невский,"пр. Космонавтов, 42 кор. 1","ГБУ ""Спортивный центр ""Физкультура и здоровье""",288
3319,Спортивный зал,Невский,"пр. Космонавтов, 28, кор. 1","ГБУ ""Спортивный центр ""Физкультура и здоровье""",288
3320,Спортивный зал,Невский,Московский пр. 102 кор.2,"ГБУ ""Спортивный центр ""Физкультура и здоровье""",450
3321,Спортивный зал,Невский,Варшавская ул. 30,ГБОУ СОШ № 1 англ.,162
3322,Спортивный зал,Невский,Витебский пр. 57,ГБОУ СОШ №351,288
3323,Спортивный зал,Невский,"Пулковское шоссе,88",ГБОУ СОШ №353,162
3324,Спортивный зал,Невский,"Взлетная ул.,5",ГБОУ СОШ №354,288
3325,Спортивный зал,Невский,"ул. Благодатная, 32",ГБОУ СОШ №355,162
3326,Спортивный зал,Невский,"ул. Ленсовета, дом 68, лит. А",ГБОУ СОШ № 356,288
3327,Спортивный зал,Невский,"ул. Варшавская,40",ГБОУ СОШ №358,162
3328,Спортивный зал,Невский,"Витебский пр., дом 85, корп. 2, лит. А",ГБОУ СОШ № 362,288
3329,Спортивный зал,Невский,"ул. Фрунзе, дом 12, лит. А","ГБОУ лицей № 366 ""Физико-математический лицей""",450
3330,Спортивный зал,Невский,"Благодатная ул., дом 11, лит. А",ГБС(К)ОУ С(К)ОШ № 370,288
3331,Спортивный зал,Невский,"Благодатная ул., дом 36, лит. А",ГБОУ СОШ № 371,288
3332,Спортивный зал,Невский,"Витебский пр., дом 73, корп. 2, лит. А",ГБОУ СОШ № 372,352
3333,Спортивный зал,Невский,"Витебский пр., дом 73, корп. 2, лит. А",ГБОУ СОШ № 372,253
3334,Спортивный зал,Невский,"Московский пр., дом 112, лит. А","ГБОУ лицей № 373 ""Экономический лицей""",253
3335,Спортивный зал,Невский,Московский пр.96,ГБОУ СОШ №374,320
3336,Спортивный зал,Невский,"5-й Предпортовый пр., д. 8, к.2",ГБОУ СОШ №376,540
3337,Спортивный зал,Невский,"5-й Предпортовый пр., д. 8, к.2",ГБОУ СОШ №376,208
3338,Спортивный зал,Невский,"Краснопутиловская ул., д. 60",ГБОУ СОШ №684,288
3339,Спортивный зал,Невский,"пр. Юрия Гагарина, дом 51, лит. А",ГБОУ СОШ № 484,288
3340,Спортивный зал,Невский,"Авиационная ул.,38",ГБОУ СОШ №485,162
3341,Спортивный зал,Невский,Московский пр. 203 -А,ГБОУ СОШ №489,162
3342,Спортивный зал,Невский,Московский пр. 203 -А,ГБОУ СОШ №489,288
3343,Спортивный зал,Невский,"Варшавская,33 лит.А",ГБОУ СОШ №495,288
3344,Спортивный зал,Невский,"Варшавская, 51 кор2",ГБОУ СОШ №496,288
3345,Спортивный зал,Невский,Московский пр. 169,ГБОУ СОШ №507,162
3346,Спортивный зал,Невский,Московский пр. 169,ГБОУ СОШ №507,288
3347,Спортивный зал,Невский,"ул. Ленсовета, 43,лит.А",ГБОУ СОШ №508,288
3348,Спортивный зал,Невский,"ул. Ленсовета, 43,лит.А",ГБОУ СОШ №508,162
3349,Спортивный зал,Невский,Кузнецовская ул.20/2,ГБОУ СОШ №509,288
3350,Спортивный зал,Невский,"Кубинская ул.,62",ГБОУ СОШ №510,250
3351,Спортивный зал,Невский,"ул. Ленсовета,87",ГБОУ СОШ №519,288
3352,Спортивный зал,Невский,"пр.Юрия Гагарина,22/3",ГБОУ СОШ №524,288
3353,Спортивный зал,Невский,"пр.Юрия Гагарина,22/3",ГБОУ СОШ №524,288
3354,Спортивный зал,Невский,"пр .Космонавтов,21/4",ГБОУ СОШ №525,288
3355,Спортивный зал,Невский,"Алтайская ул., 15",ГБОУ СОШ №526,225
3356,Спортивный зал,Невский,"ул. Фрунзе,13",ГБОУ СОШ №526,162
3357,Спортивный зал,Невский,"пр .Космонавтов,20/3",ГБОУ СОШ №536,288
3358,Спортивный зал,Невский,"ул. Костюшко,34",ГБОУ СОШ №537,288
3359,Спортивный зал,Невский,"пр .Космонавтов,28/3",ГБОУ СОШ №543,288
3360,Спортивный зал,Невский,"5 Предпортовый проезд, 6 кор.1",ГБОУ СОШ №544,288
3361,Спортивный зал,Невский,"5 Предпортовый проезд, 6 кор.1",ГБОУ СОШ №544,288
3362,Спортивный зал,Невский,"ул. Победы,10",ГБОУ СОШ №594,162
3363,Спортивный зал,Невский,"Варшавская ул.,63",ГБОУ СОШ №643,288
3364,Спортивный зал,Невский,"Витебский пр., д.49, к.2",ГБОУ СОШ №663,288
3365,Спортивный зал,Невский,"ул. Орджоникидзе,18",ЦО№2,288
3366,Спортивный зал,Невский,"Кубинская ул., 32",ГОУСПО Некрасовский педагогический колледж №1,288
3367,Спортивный зал,Невский,"Кубинская ул., 32",ГОУСПО Некрасовский педагогический колледж №1,288
3368,Спортивный зал,Невский,"Кубинская ул., 32",ГОУСПО Некрасовский педагогический колледж №1,288
3369,Спортивный зал,Невский,"Звездная ул., 7, корп. 1",Инженерная школа одежды,570
3370,Спортивный зал,Невский,Ленинский пр. 149,СПб ГБОУмед. колледж им. В.М. Бехтерева,280
3371,Спортивный зал,Невский,"Звездная ул.,15, кор.2","СПб ГБ ПОУ ""Лицей ""Звездный""",288
3372,Спортивный зал,Невский,"5-ый Предпортовый проезд, 8 корп.5",МПЦ «Пулковец»,288
3373,Спортивный зал,Невский,"Орджоникидзе,61",МПЦ «Московский»,288
