№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3394,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",182
3395,Зал хореографии,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",140
3396,Спортивный зал,Невский,"ул. Решетникова, 23/4 .",СПб колледж автоматизации Лесопромышленного производства,162
3397,Спортивный зал,Невский,"Черниговская ул., д. 5",ФГОУ ВПО «СПб ГАВМ»,180
3398,Спортивный зал,Невский,"Цветочная ул., д. 8",Колледж технологии моделирования и управления,162
3399,Спортивный зал,Невский,"Ул. Варшавская, д. 8","ГУАП, ФСПО",216
3400,Спортивный зал,Невский,"Московский пр., 149",СПб Университет ГПС МЧС России,162
3401,Спортивный зал,Невский,"Московский пр., 149",СПб Университет ГПС МЧС России,648
3402,Спортивный зал,Невский,"ул. Ленсовета, 14",СПб колледж авиаприборостроения и автоматики,288
3403,Спортивный зал,Невский,"ул. Пилотов, 38",СПб Государственный университет гражданской авиации,648
3404,Спортивный зал,Невский,"ул. Пилотов, 38",СПб Государственный университет гражданской авиации,288
3405,Спортивный зал,Невский,"Бассейная ул.,20",СПб Техникум отраслевых технологий финансов и права,162
3406,Спортивный зал,Невский,"ул. Гастелло,19",Университет торговли (экономико-технологический колледж),312
3407,Спортивный зал,Невский,"Московское шоссе, 44",ФГУП «Крыловский государственный научный центр»,450
3408,Спортивный зал,Невский,"Московское шоссе, 44",ФГУП «Крыловский государственный научный центр»,162
3409,Спортивный зал,Невский,"Московское шоссе, 44",ФГУП «Крыловский государственный научный центр»,162
3410,Кардиозал,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,294
3411,Зал аэробики,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,181
3412,Зал аэробики,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,226
3413,Зал тенниса,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,163
3414,Тренажёрный зал,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,616
3415,Кардиозал,Невский,"Ул, Шереметьевская, д. 13, литера А",Фитнес Хаус «На Пулковском»,183
3416,Тренажёрный зал,Невский,"Ул. Смоленская, д.18, литера А",ОАО «Fazer»,210
3417,бильярд,Невский,"Ул. Шереметьевская, д. 15, литера А","ООО ""Хатей""",200
3418,бильярд,Невский,"Ул. Шереметьевская, д. 15, литера А","ООО ""Хатей""",500
3419,Спортивный зал,Невский,"пр. Космонавтов, д. 79, корпус 2","ООО ""СК ""Тайфун""",410
3420,Спортивный зал,Невский,"пр. Космонавтов, д. 79, корпус 2","ООО ""СК ""Тайфун""",162
3421,Тренажёрный зал,Невский,"ул. Типанова, д. 27/39, литера А","Фитнес клуб ""Fitness Famely""",845
3422,Тренажёрный зал,Невский,"ул. Нворощинская, д. 4, литера А","ООО ПремьерСпорт ""СпортЛайф Цветочный""",288
3423,Тренажёрный зал,Невский,"ул. Нворощинская, д. 4, литера А","ООО ПремьерСпорт ""СпортЛайф Цветочный""",288
3424,Зал аэробики,Невский,"ул. Нворощинская, д. 4, литера А","ООО ПремьерСпорт ""СпортЛайф Цветочный""",288
3425,Зал аэробики,Невский,"ул. Нворощинская, д. 4, литера А","ООО ПремьерСпорт ""СпортЛайф Цветочный""",288
3426,Спортивный зал,Невский,"ул. Заставская, д. 15","Спортивный клуб ""Бастион""",760
3427,Спортивный зал,Невский,"ул. Варшавская, д. 5","ООО ""Варшавская""",226
3428,Тренажёрный зал,Невский,"Краснопутиловская ул., д.56, лит. А",ООО Фитнес-центр «Матрица»,141
3429,Спортивный зал,Невский,"ул. Краснопутиловская, д. 13","ООО ""Аурум""",216
3430,Спортивный зал,Невский,"ул. Краснопутиловская, д. 13","ООО ""Аурум""",288
3431,Спортивный зал,Невский,"ул. Краснопутиловская, д. 13","ООО ""Аурум""",432
3432,тренажеры,Невский,"ул. Краснопутиловская, д. 13","ООО ""Аурум""",480
3433,Спортивный зал,Невский,"Ленинский пр., д. 160",ООО «Фитнес Ленинский»,401
3434,Спортивный зал,Невский,"ул. Типанова, 21 лит. А","ООО ""Спорт индустрия""",450
3435,Спортивный зал,Невский,"ул. Типанова, 21 лит. А","ООО ""Спорт индустрия""",288
3436,Спортивный зал,Невский,"ул. Типанова, 21 лит. А","ООО ""Спорт индустрия""",195
3437,Спортивный зал,Невский,"Варшавская ул., д. 5а",ОАО «Техприбор»,162
3438,Спортивный зал,Невский,"Варшавская ул., д. 5а",ОАО «Техприбор»,450
3439,Тренажерный зал,Невский,"пр. Юрия-Гагарина,71",ООО ПремьерСпорт ОА Ленсовета,700
3440,Зал аэробики,Невский,"пр. Юрия-Гагарина,71",ООО ПремьерСпорт ОА Ленсовета,180
3441,Зал аэробики,Невский,"пр. Юрия-Гагарина,71",ООО ПремьерСпорт ОА Ленсовета,283
3442,Игровой зал,Невский,"пр. Юрия-Гагарина,71",ООО ПремьерСпорт ОА Ленсовета,290
3443,Спортивный зал,Невский,"Московский пр.,150 к.2","ООО ""Волна""",540
3444,Спортивный зал,Невский,"Московский пр.,150 к.2","ООО ""Волна""",162
3445,Тренажёрный зал,Невский,"ул. Галстяна, 3",ООО «Океаниум Фитнес»,680
3446,Спортивный зал,Невский,"Ул. Ново-Рыбинская, д.19-21",ООО «Фитнес -24»,970
3447,Спортивный зал,Невский,"Ул. Ново-Рыбинская, д. 19-21",ООО «Фитнес -24»,229
3448,Спортивный зал,Невский,"Пр. Чернышевского, д. 11, литера А",ООО «Тренд»,550
3449,Спортивный зал,Невский,"Пр. Чернышевского, д. 11, литера А",ООО «Тренд»,165
